Station_Name,Lat,Lon,Elev,Year,Month,Day,PRECIP(mm)
GITEGA,-1.96,30.06,1522,2020,6,8,0
GITEGA,-1.96,30.06,1522,2020,6,9,0
GITEGA,-1.96,30.06,1522,2020,6,10,0.55
GITEGA,-1.96,30.06,1522,2020,6,11,0
GITEGA,-1.96,30.06,1522,2020,6,12,1.7
GITEGA,-1.96,30.06,1522,2020,6,13,0.85
GITEGA,-1.96,30.06,1522,2020,6,14,0.3
GITEGA,-1.96,30.06,1522,2020,6,15,0
GITEGA,-1.96,30.06,1522,2020,6,16,0
GITEGA,-1.96,30.06,1522,2020,6,17,0
GITEGA,-1.96,30.06,1522,2020,6,18,0
GITEGA,-1.96,30.06,1522,2020,6,19,0
GITEGA,-1.96,30.06,1522,2020,6,20,0
GITEGA,-1.96,30.06,1522,2020,6,21,1.3
GITEGA,-1.96,30.06,1522,2020,6,22,0
GITEGA,-1.96,30.06,1522,2020,6,23,0
GITEGA,-1.96,30.06,1522,2020,6,24,0
GITEGA,-1.96,30.06,1522,2020,6,25,0
GITEGA,-1.96,30.06,1522,2020,6,26,0
GITEGA,-1.96,30.06,1522,2020,6,27,0
GITEGA,-1.96,30.06,1522,2020,6,28,0
GITEGA,-1.96,30.06,1522,2020,6,29,0
GITEGA,-1.96,30.06,1522,2020,6,30,0
GITEGA,-1.96,30.06,1522,2020,7,1,0
GITEGA,-1.96,30.06,1522,2020,7,2,0
GITEGA,-1.96,30.06,1522,2020,7,3,0
GITEGA,-1.96,30.06,1522,2020,7,4,0
GITEGA,-1.96,30.06,1522,2020,7,5,0
GITEGA,-1.96,30.06,1522,2020,7,6,0
GITEGA,-1.96,30.06,1522,2020,7,7,0
GITEGA,-1.96,30.06,1522,2020,7,8,0
GITEGA,-1.96,30.06,1522,2020,7,9,0
GITEGA,-1.96,30.06,1522,2020,7,10,0
GITEGA,-1.96,30.06,1522,2020,7,11,0
GITEGA,-1.96,30.06,1522,2020,7,12,0
GITEGA,-1.96,30.06,1522,2020,7,13,0
GITEGA,-1.96,30.06,1522,2020,7,14,0
GITEGA,-1.96,30.06,1522,2020,7,15,0
GITEGA,-1.96,30.06,1522,2020,7,16,0.1
GITEGA,-1.96,30.06,1522,2020,7,17,0.9
GITEGA,-1.96,30.06,1522,2020,7,18,0
GITEGA,-1.96,30.06,1522,2020,7,19,0
GITEGA,-1.96,30.06,1522,2020,7,20,0
GITEGA,-1.96,30.06,1522,2020,7,21,0
GITEGA,-1.96,30.06,1522,2020,7,22,0
GITEGA,-1.96,30.06,1522,2020,7,23,0.1
GITEGA,-1.96,30.06,1522,2020,7,24,0.1
GITEGA,-1.96,30.06,1522,2020,7,25,0
GITEGA,-1.96,30.06,1522,2020,7,26,0
GITEGA,-1.96,30.06,1522,2020,7,27,0
GITEGA,-1.96,30.06,1522,2020,7,28,0
GITEGA,-1.96,30.06,1522,2020,7,29,0
GITEGA,-1.96,30.06,1522,2020,7,30,0
GITEGA,-1.96,30.06,1522,2020,7,31,0
GITEGA,-1.96,30.06,1522,2020,8,1,0
GITEGA,-1.96,30.06,1522,2020,8,2,0
GITEGA,-1.96,30.06,1522,2020,8,3,0
GITEGA,-1.96,30.06,1522,2020,8,4,0
GITEGA,-1.96,30.06,1522,2020,8,5,0
GITEGA,-1.96,30.06,1522,2020,8,6,0
GITEGA,-1.96,30.06,1522,2020,8,7,0
GITEGA,-1.96,30.06,1522,2020,8,8,0
GITEGA,-1.96,30.06,1522,2020,8,9,0
GITEGA,-1.96,30.06,1522,2020,8,10,0.1
GITEGA,-1.96,30.06,1522,2020,8,11,0
GITEGA,-1.96,30.06,1522,2020,8,12,0
GITEGA,-1.96,30.06,1522,2020,8,13,0
GITEGA,-1.96,30.06,1522,2020,8,14,0
GITEGA,-1.96,30.06,1522,2020,8,15,0
GITEGA,-1.96,30.06,1522,2020,8,16,0
GITEGA,-1.96,30.06,1522,2020,8,17,0
GITEGA,-1.96,30.06,1522,2020,8,18,0
GITEGA,-1.96,30.06,1522,2020,8,19,0
GITEGA,-1.96,30.06,1522,2020,8,20,0
GITEGA,-1.96,30.06,1522,2020,8,21,0.02
GITEGA,-1.96,30.06,1522,2020,8,22,0
GITEGA,-1.96,30.06,1522,2020,8,23,0
GITEGA,-1.96,30.06,1522,2020,8,24,0
GITEGA,-1.96,30.06,1522,2020,8,25,0
GITEGA,-1.96,30.06,1522,2020,8,26,0
GITEGA,-1.96,30.06,1522,2020,8,27,0
GITEGA,-1.96,30.06,1522,2020,8,28,0
GITEGA,-1.96,30.06,1522,2020,8,29,0
GITEGA,-1.96,30.06,1522,2020,8,30,0
GITEGA,-1.96,30.06,1522,2020,8,31,0.1
GITEGA,-1.96,30.06,1522,2020,9,1,0.1
GITEGA,-1.96,30.06,1522,2020,9,2,0
GITEGA,-1.96,30.06,1522,2020,9,3,0
GITEGA,-1.96,30.06,1522,2020,9,4,0
GITEGA,-1.96,30.06,1522,2020,9,5,0
GITEGA,-1.96,30.06,1522,2020,9,6,0.15
GITEGA,-1.96,30.06,1522,2020,9,7,1.95
GITEGA,-1.96,30.06,1522,2020,9,8,2.15
GITEGA,-1.96,30.06,1522,2020,9,9,0.35
GITEGA,-1.96,30.06,1522,2020,9,10,0
GITEGA,-1.96,30.06,1522,2020,9,11,0
GITEGA,-1.96,30.06,1522,2020,9,12,0
GITEGA,-1.96,30.06,1522,2020,9,13,0
GITEGA,-1.96,30.06,1522,2020,9,14,0.5
GITEGA,-1.96,30.06,1522,2020,9,15,0.6
GITEGA,-1.96,30.06,1522,2020,9,16,0.35
GITEGA,-1.96,30.06,1522,2020,9,17,0.25
GITEGA,-1.96,30.06,1522,2020,9,18,0
GITEGA,-1.96,30.06,1522,2020,9,19,0
GITEGA,-1.96,30.06,1522,2020,9,20,0
GITEGA,-1.96,30.06,1522,2020,9,21,0.05
GITEGA,-1.96,30.06,1522,2020,9,22,0.8
GITEGA,-1.96,30.06,1522,2020,9,23,3.45
GITEGA,-1.96,30.06,1522,2020,9,24,0.7
GITEGA,-1.96,30.06,1522,2020,9,25,0.95
GITEGA,-1.96,30.06,1522,2020,9,26,6.7
GITEGA,-1.96,30.06,1522,2020,9,27,6.15
GITEGA,-1.96,30.06,1522,2020,9,28,5.35
GITEGA,-1.96,30.06,1522,2020,9,29,5.6
GITEGA,-1.96,30.06,1522,2020,9,30,4.25
GITEGA,-1.96,30.06,1522,2020,10,1,9.6
GITEGA,-1.96,30.06,1522,2020,10,2,2.2
GITEGA,-1.96,30.06,1522,2020,10,3,0.6
GITEGA,-1.96,30.06,1522,2020,10,4,8.2
GITEGA,-1.96,30.06,1522,2020,10,5,0
GITEGA,-1.96,30.06,1522,2020,10,6,0
GITEGA,-1.96,30.06,1522,2020,10,7,0
GITEGA,-1.96,30.06,1522,2020,10,8,6.8
